Sym,Name,Industry,M Cap,%5d
FSF,FONTERRA SHAREHOLDERS' FUND,"Food, Beverage & Tobacco",$505M,2.56
WTN,WINTON LAND LIMITED,Real Estate Management & Development,$504M,0.0
AEL,AMPLITUDE ENERGY LIMITED,Energy,$504M,-2.56
APZ,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs),$502M,-4.0
AVH,AVITA MEDICAL INC.,"Pharmaceuticals, Biotechnology & Life Sciences",$502M,1.55
IMM,IMMUTEP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$495M,-1.47
KSC,K & S CORPORATION LIMITED,Transportation,$489M,-1.92
MVF,MONASH IVF GROUP LIMITED,Health Care Equipment & Services,$487M,-0.8
SRV,SERVCORP LIMITED,Real Estate Management & Development,$483M,-1.02
OCA,OCEANIA HEALTHCARE LIMITED,Health Care Equipment & Services,$482M,-0.74
MYS,MYSTATE LIMITED,Banks,$481M,6.95
EHL,EMECO HOLDINGS LIMITED,Capital Goods,$477M,0.0
ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail,$464M,1.91
AQZ,ALLIANCE AVIATION SERVICES LIMITED,Transportation,$464M,4.73
TWR,TOWER LIMITED,Insurance,$461M,-0.42
LOT,LOTUS RESOURCES LIMITED,Materials,$461M,-2.63
PIC,PERPETUAL EQUITY INVESTMENT COMPANY LIMITED,Not Applic,$454M,2.15
KPG,KELLY PARTNERS GROUP HOLDINGS LIMITED,Commercial & Professional Services,$452M,0.61
CWP,CEDAR WOODS PROPERTIES LIMITED,Real Estate Management & Development,$450M,2.21
VG1,VGI PARTNERS GLOBAL INVESTMENTS LIMITED,Not Applic,$445M,-3.33
CCL,CUSCAL LIMITED,Financial Services,$444M,-2.53
GNP,GENUSPLUS GROUP LTD,Capital Goods,$441M,1.99
CHN,CHALICE MINING LIMITED,Materials,$432M,-1.35
BFG,BELL FINANCIAL GROUP LIMITED,Financial Services,$428M,0.76
SST,STEAMSHIPS TRADING COMPANY LIMITED,Capital Goods,$428M,0.0
SVM,SOVEREIGN METALS LIMITED,Materials,$426M,-4.67
TYR,TYRO PAYMENTS LIMITED,Financial Services,$419M,0.0
IPG,IPD GROUP LTD,Capital Goods,$415M,2.11
TRA,TURNERS AUTOMOTIVE GROUP LIMITED,Consumer Discretionary Distribution & Retail,$413M,0.0
PMC,PLATINUM CAPITAL LIMITED,Not Applic,$413M,0.0
SKO,SERKO LIMITED,Software & Services,$412M,1.21
RBD,RESTAURANT BRANDS NEW ZEALAND LIMITED,Consumer Services,$412M,0.0
AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services,$412M,0.33
GNG,GR ENGINEERING SERVICES LIMITED,Materials,$411M,2.52
THL,TOURISM HOLDINGS RENTALS LIMITED,Transportation,$407M,3.7
SXE,SOUTHERN CROSS ELECTRICAL ENGINEERING LTD,Capital Goods,$407M,5.08
LRS,LATIN RESOURCES LIMITED,Materials,$406M,0.0
DXC,DEXUS CONVENIENCE RETAIL REIT,Equity Real Estate Investment Trusts (REITs),$405M,0.0
WMI,WAM MICROCAP LIMITED,Not Applic,$403M,1.03
LYL,LYCOPODIUM LIMITED,Capital Goods,$399M,1.81
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Not Applic,$398M,-3.4
SYL,SYMAL GROUP LIMITED,Capital Goods,$393M,-1.7
RMC,RESIMAC GROUP LTD,Financial Services,$392M,1.06
CDP,CARINDALE PROPERTY TRUST,Equity Real Estate Investment Trusts (REITs),$389M,0.84
ATA,ATTURRA LIMITED,Software & Services,$388M,-2.36
PTM,PLATINUM ASSET MANAGEMENT LIMITED,Financial Services,$387M,7.26
RDY,READYTECH HOLDINGS LIMITED,Software & Services,$387M,-1.6
DUR,DURATEC LIMITED,Capital Goods,$386M,3.45
OBL,OMNI BRIDGEWAY LIMITED,Financial Services,$381M,44.56
PAI,PLATINUM ASIA INVESTMENTS LIMITED,Not Applic,$377M,0.49
WQG,WCM GLOBAL GROWTH LIMITED,Not Applic,$374M,-2.34
MYX,MAYNE PHARMA GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$373M,-4.69
EBR,EBR SYSTEMS INC.,Health Care Equipment & Services,$371M,14.77
AMH,AMCIL LIMITED,Not Applic,$370M,-0.42
NVX,NOVONIX LIMITED,Technology Hardware & Equipment,$369M,4.96
HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,Telecommunication Services,$366M,3.7
MGX,MOUNT GIBSON IRON LIMITED,Materials,$361M,-1.64
MLX,METALS X LIMITED,Materials,$359M,0.0
PE1,PENGANA PRIVATE EQUITY TRUST,Not Applic,$354M,11.86
BC8,BLACK CAT SYNDICATE LIMITED,Materials,$353M,-2.52
AVJ,AVJENNINGS LIMITED,Consumer Durables & Apparel,$352M,0.0
ASG,AUTOSPORTS GROUP LIMITED.,Consumer Discretionary Distribution & Retail,$350M,-4.89
PPS,PRAEMIUM LIMITED,Software & Services,$349M,-2.65
INR,IONEER LTD,Materials,$342M,3.33
SKT,SKY NETWORK TELEVISION LIMITED.,Media & Entertainment,$341M,6.44
MMI,METRO MINING LIMITED,Materials,$340M,-3.51
KCN,KINGSGATE CONSOLIDATED LIMITED.,Materials,$336M,-6.23
SBM,ST BARBARA LIMITED,Materials,$330M,-35.48
DSE,DROPSUITE LIMITED,Software & Services,$329M,2.86
KSL,KINA SECURITIES LIMITED,Banks,$328M,6.07
PBH,POINTSBET HOLDINGS LIMITED,Consumer Services,$328M,-2.03
WJL,WEBJET GROUP LIMITED,Consumer Services,$328M,0.6
HUM,HUMM GROUP LIMITED,Financial Services,$327M,3.79
OFX,OFX GROUP LIMITED,Financial Services,$325M,-3.17
IGL,IVE GROUP LIMITED,Media & Entertainment,$322M,0.0
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,Health Care Equipment & Services,$321M,-0.11
ACF,ACROW LIMITED,Capital Goods,$321M,3.92
GDI,GDI PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),$320M,0.0
PSQ,PACIFIC SMILES GROUP LIMITED,Health Care Equipment & Services,$315M,-0.26
OCC,ORTHOCELL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$314M,10.92
ANG,AUSTIN ENGINEERING LIMITED,Capital Goods,$310M,2.0
HZN,HORIZON OIL LIMITED,Energy,$309M,-2.7
HLO,HELLOWORLD TRAVEL LIMITED,Consumer Services,$308M,1.83
PIA,PENGANA INTERNATIONAL EQUITIES LIMITED,Not Applic,$307M,-0.82
WC8,WILDCAT RESOURCES LIMITED,Materials,$306M,14.63
PLL,PIEDMONT LITHIUM INC.,Materials,$305M,-15.62
SVR,SOLVAR LIMITED,Financial Services,$304M,-0.33
SPZ,SMART PARKING LIMITED,Commercial & Professional Services,$304M,-1.13
ALK,ALKANE RESOURCES LIMITED,Materials,$303M,-0.98
RG8,REGAL ASIAN INVESTMENTS LIMITED,Not Applic,$301M,-2.0
REP,RAM ESSENTIAL SERVICES PROPERTY FUND,Equity Real Estate Investment Trusts (REITs),$300M,0.0
SYA,SAYONA MINING LIMITED,Materials,$300M,-3.7
SFC,SCHAFFER CORPORATION LIMITED,Automobiles & Components,$300M,2.94
MRE,METRICS REAL ESTATE MULTI-STRATEGY FUND,Not Applic,$300M,1.15
IMR,IMRICOR MEDICAL SYSTEMS INC.,Health Care Equipment & Services,$299M,12.31
29M,29METALS LIMITED,Materials,$296M,-2.04
SMI,SANTANA MINERALS LIMITED,Materials,$296M,0.0
MAUCA,MAGNETIC RESOURCES NL,Materials,$296M,0.0
MAU,MAGNETIC RESOURCES NL,Materials,$296M,-5.98
JMS,JUPITER MINES LIMITED.,Materials,$284M,0.0
OMH,OM HOLDINGS LIMITED,Materials,$280M,2.82
AMI,AURELIA METALS LIMITED,Materials,$279M,0.0
PGH,PACT GROUP HOLDINGS LTD,Materials,$279M,-1.84
WAT,WATERCO LIMITED,Consumer Durables & Apparel,$277M,1.03
LAU,LINDSAY AUSTRALIA LIMITED,Transportation,$277M,2.3
IMU,IMUGENE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$275M,-2.7
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services,$273M,0.0
FID,FIDUCIAN GROUP LIMITED,Financial Services,$272M,2.89
ARU,ARAFURA RARE EARTHS LTD,Materials,$271M,4.55
CVN,CARNARVON ENERGY LIMITED,Energy,$268M,0.0
CVC,CVC LIMITED,Financial Services,$268M,0.0
AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$267M,1.19
EML,EML PAYMENTS LIMITED,Financial Services,$266M,-15.96
RHI,RED HILL MINERALS LIMITED,Materials,$265M,-4.84
AMA,AMA GROUP LIMITED,Commercial & Professional Services,$263M,-3.45
CAY,CANYON RESOURCES LIMITED,Materials,$262M,2.86
PWR,PETER WARREN AUTOMOTIVE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$262M,-3.87
WGN,WAGNERS HOLDING COMPANY LIMITED,Materials,$262M,1.45
LGI,LGI LIMITED,Utilities,$262M,-5.31
GDF,GARDA PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),$261M,-2.03
EGH,EUREKA GROUP HOLDINGS LIMITED,Real Estate Management & Development,$259M,4.24
URF,US MASTERS RESIDENTIAL PROPERTY FUND,Equity Real Estate Investment Trusts (REITs),$258M,1.41
XRF,XRF SCIENTIFIC LIMITED,Capital Goods,$257M,-1.08
KMD,KMD BRANDS LIMITED,Consumer Discretionary Distribution & Retail,$256M,6.16
GRR,GRANGE RESOURCES LIMITED.,Materials,$255M,-2.22
CVW,CLEARVIEW WEALTH LIMITED,Insurance,$253M,-2.7
ECF,ELANOR COMMERCIAL PROPERTY FUND,Equity Real Estate Investment Trusts (REITs),$250M,0.82
ABA,AUSWIDE BANK LTD,Banks,$242M,9.27
FND,FINDI LIMITED,Software & Services,$241M,-2.23
SHA,SHAPE AUSTRALIA CORPORATION LIMITED,Capital Goods,$240M,0.0
TCG,TURACO GOLD LIMITED,Materials,$238M,-3.57
WAX,WAM RESEARCH LIMITED,Not Applic,$236M,0.44
GVF,STAUDE CAPITAL GLOBAL VALUE FUND LIMITED,Not Applic,$236M,-0.74
ARX,AROA BIOSURGERY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$235M,13.85
RAC,RACE ONCOLOGY LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$233M,-2.48
TTT,TITOMIC LIMITED,Materials,$232M,0.0
STP,STEP ONE CLOTHING LIMITED,Consumer Discretionary Distribution & Retail,$232M,-3.88
SWM,SEVEN WEST MEDIA LIMITED,Media & Entertainment,$231M,7.14
TBR,TRIBUNE RESOURCES LIMITED,Materials,$230M,-5.1
BBN,BABY BUNTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,$230M,2.96
BTR,BRIGHTSTAR RESOURCES LIMITED,Materials,$228M,0.0
VYS,VYSARN LIMITED,Materials,$227M,-3.49
EOS,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,Capital Goods,$227M,9.17
ONE,ONEVIEW HEALTHCARE PLC,Health Care Equipment & Services,$226M,0.0
A1N,ARN MEDIA LIMITED,Media & Entertainment,$224M,-1.38
EEG,EMPIRE ENERGY GROUP LIMITED,Energy,$224M,10.0
SM1,SYNLAIT MILK LIMITED,"Food, Beverage & Tobacco",$223M,-1.35
MHJ,MICHAEL HILL INTERNATIONAL LIMITED,Consumer Discretionary Distribution & Retail,$223M,-3.33
3PL,3P LEARNING LIMITED..,Consumer Services,$221M,4.97
FRI,FINBAR GROUP LIMITED,Real Estate Management & Development,$218M,0.63
LGL,LYNCH GROUP HOLDINGS LIMITED,"Food, Beverage & Tobacco",$217M,-5.82
EOL,ENERGY ONE LIMITED,Software & Services,$214M,1.48
CEH,COAST ENTERTAINMENT HOLDINGS LIMITED,Consumer Services,$212M,6.38
AII,ALMONTY INDUSTRIES INC.,Materials,$208M,-5.91
BIS,BISALLOY STEEL GROUP LIMITED,Materials,$207M,-1.12
MEI,METEORIC RESOURCES NL,Materials,$207M,-1.15
D2O,DUXTON WATER LIMITED,Utilities,$207M,0.77
WHI,WHITEFIELD INCOME LIMITED,Not Applic,$205M,-1.54
CDM,CADENCE CAPITAL LIMITED,Not Applic,$204M,-0.73
WAR,WAM STRATEGIC VALUE LIMITED,Not Applic,$204M,0.45
A11,ATLANTIC LITHIUM LIMITED,Materials,$201M,18.0
SPG,SPC GLOBAL HOLDINGS LTD,"Food, Beverage & Tobacco",$201M,-25.48
FBR,FBR LTD,Capital Goods,$197M,8.82
PEN,PENINSULA ENERGY LIMITED,Energy,$197M,26.21
KP2,KORE POTASH PLC,Materials,$197M,-4.26
SKS,SKS TECHNOLOGIES GROUP LIMITED,Capital Goods,$193M,-8.48
TZN,TERRAMIN AUSTRALIA LIMITED.,Materials,$193M,0.0
LAM,LARAMIDE RESOURCES LTD,Energy,$192M,0.0
WMA,WAM ALTERNATIVE ASSETS LIMITED,Not Applic,$191M,2.51
AIM,AI-MEDIA TECHNOLOGIES LIMITED,Commercial & Professional Services,$190M,13.5
FEX,FENIX RESOURCES LTD,Materials,$189M,-3.77
CGS,COGSTATE LTD,Health Care Equipment & Services,$188M,-11.67
LRV,LARVOTTO RESOURCES LIMITED,Materials,$188M,-5.05
4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,$187M,-1.11
SYR,SYRAH RESOURCES LIMITED,Materials,$186M,0.0
ERD,EROAD LIMITED,Technology Hardware & Equipment,$186M,23.84
GRX,GREENX METALS LIMITED,Materials,$186M,0.76
NZM,NZME LIMITED,Media & Entertainment,$185M,1.54
MEK,MEEKA METALS LIMITED,Materials,$184M,0.0
COG,COG FINANCIAL SERVICES LIMITED,Financial Services,$183M,5.14
STK,STRICKLAND METALS LIMITED,Materials,$183M,-5.88
FWD,FLEETWOOD LIMITED,Consumer Durables & Apparel,$183M,0.52
TLG,TALGA GROUP LTD,Materials,$182M,2.41
COS,COSOL LIMITED,Software & Services,$182M,2.0
A1M,AIC MINES LIMITED,Materials,$181M,-3.03
AAR,ASTRAL RESOURCES NL,Materials,$180M,0.0
BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,Financial Services,$180M,-0.82
AOF,AUSTRALIAN UNITY OFFICE FUND,Equity Real Estate Investment Trusts (REITs),$178M,0.94
CXO,CORE LITHIUM LTD,Materials,$178M,-1.2
WIA,WIA GOLD LIMITED,Materials,$176M,-11.11
BWN,BHAGWAN MARINE LIMITED,Transportation,$176M,-4.58
DXB,DIMERIX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$176M,-10.14
DUG,DUG TECHNOLOGY LTD,Software & Services,$175M,-8.19
ALA,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$175M,0.0
PLY,PLAYSIDE STUDIOS LIMITED,Media & Entertainment,$174M,5.06
NDO,NIDO EDUCATION LIMITED,Consumer Services,$174M,0.66
NTU,NORTHERN MINERALS LIMITED,Materials,$174M,0.0
VEE,VEEM LTD,Capital Goods,$174M,-4.44
COI,COMET RIDGE LIMITED,Energy,$173M,0.0
DGL,DGL GROUP LIMITED,Materials,$173M,-6.3
ART,AIRTASKER LIMITED,Media & Entertainment,$172M,8.0
SSG,SHAVER SHOP GROUP LIMITED,Consumer Discretionary Distribution & Retail,$172M,0.76
TVN,TIVAN LIMITED,Materials,$172M,12.5
SLH,SILK LOGISTICS HOLDINGS LIMITED,Transportation,$171M,0.0
QGL,QUANTUM GRAPHITE LIMITED,Materials,$171M,2.04
IMB,INTELLIGENT MONITORING GROUP LIMITED,Commercial & Professional Services,$170M,-2.0
HPG,HIPAGES GROUP HOLDINGS LTD,Media & Entertainment,$170M,-2.69
CAA,CAPRAL LIMITED,Materials,$169M,0.75
PCX,PENGANA GLOBAL PRIVATE CREDIT TRUST,Not Applic,$169M,1.0
BOC,BOUGAINVILLE COPPER LIMITED,Materials,$168M,-2.33
CYC,CYCLOPHARM LIMITED,Health Care Equipment & Services,$168M,-4.43
AIS,AERIS RESOURCES LIMITED,Materials,$165M,3.03
BBT,BLUEBET HOLDINGS LTD,Consumer Services,$164M,-4.92
ENR,ENCOUNTER RESOURCES LIMITED,Materials,$164M,0.0
CTM,CENTAURUS METALS LIMITED,Materials,$164M,-4.0
EMV,EMVISION MEDICAL DEVICES LTD,Health Care Equipment & Services,$162M,1.35
RHK,RED HAWK MINING LIMITED,Materials,$160M,0.94
BTH,BIGTINCAN HOLDINGS LIMITED,Software & Services,$160M,-2.5
3DA,AMAERO INTERNATIONAL LTD,Capital Goods,$160M,-5.56
CRD,CONRAD ASIA ENERGY LTD.,Energy,$160M,-3.26
ACE,ACUSENSUS LIMITED.,Software & Services,$158M,0.44
TGM,THETA GOLD MINES LIMITED,Materials,$157M,8.82
CCV,CASH CONVERTERS INTERNATIONAL,Financial Services,$157M,4.17
BKY,BERKELEY ENERGIA LIMITED,Energy,$156M,6.15
TRJ,TRAJAN GROUP HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$155M,6.31
RFG,RETAIL FOOD GROUP LIMITED,Consumer Services,$155M,-4.85
CXL,CALIX LIMITED,Materials,$155M,-1.33
PCL,PANCONTINENTAL ENERGY NL,Energy,$155M,0.0
SHJ,SHINE JUSTICE LTD,Consumer Services,$153M,-0.56
POL,POLYMETALS RESOURCES LTD,Materials,$152M,-1.27
LTP,LTR PHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$152M,1.23
PAR,PARADIGM BIOPHARMACEUTICALS LIMITED..,"Pharmaceuticals, Biotechnology & Life Sciences",$152M,0.0
FDV,FRONTIER DIGITAL VENTURES LIMITED,Media & Entertainment,$152M,-6.76
RNU,RENASCOR RESOURCES LIMITED,Materials,$150M,1.79
SXL,SOUTHERN CROSS MEDIA GROUP LIMITED,Media & Entertainment,$150M,7.89
GSS,GENETIC SIGNATURES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$149M,-4.55
NOL,NOBLEOAK LIFE LIMITED,Insurance,$147M,-2.42
AUC,AUSGOLD LIMITED,Materials,$146M,-11.83
VVA,VIVA LEISURE LIMITED,Consumer Services,$146M,0.0
BRL,BATHURST RESOURCES LIMITED.,Materials,$146M,-4.52
EZZ,EZZ LIFE SCIENCE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$146M,2.92
RCT,REEF CASINO TRUST,Consumer Services,$145M,-0.34
JYC,JOYCE CORPORATION LTD,Consumer Discretionary Distribution & Retail,$145M,-0.8
CLX,CTI LOGISTICS LIMITED,Transportation,$144M,-4.76
EZL,EUROZ HARTLEYS GROUP LIMITED,Financial Services,$144M,1.75
CYG,COVENTRY GROUP LIMITED,Capital Goods,$143M,-3.95
MCA,MURRAY COD AUSTRALIA LIMITED,"Food, Beverage & Tobacco",$143M,-3.57
SVL,SILVER MINES LIMITED,Materials,$142M,-8.05
OIL,OPTISCAN IMAGING LIMITED,Health Care Equipment & Services,$142M,6.25
EVO,EMBARK EARLY EDUCATION LIMITED,Consumer Services,$140M,0.66
TER,TERRACOM LIMITED,Energy,$140M,-5.56
GLB,GLOBE INTERNATIONAL LIMITED,Consumer Durables & Apparel,$140M,2.45
MTO,MOTORCYCLE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$139M,-2.08
EIQ,ECHOIQ LIMITED,Software & Services,$138M,6.67
SEC,SPHERIA EMERGING COMPANIES LIMITED,Not Applic,$138M,5.41
LRL,LABYRINTH RESOURCES LIMITED,Materials,$137M,-9.43
CCR,CREDIT CLEAR LIMITED,Software & Services,$137M,3.23
HNG,HANCOCK & GORE LTD,Capital Goods,$136M,5.26
SDI,SDI LIMITED,Health Care Equipment & Services,$136M,-1.88
MME,MONEYME LIMITED,Financial Services,$136M,9.09
TGP,360 CAPITAL GROUP,Financial Services,$136M,0.83
CUP,COUNT LIMITED,Commercial & Professional Services,$135M,5.33
TOK,TOLU MINERALS LIMITED.,Class Pend,$134M,0.0
AKM,ASPIRE MINING LIMITED,Materials,$132M,-12.28
ARR,AMERICAN RARE EARTHS LIMITED,Materials,$132M,-1.85
ASL,ANDEAN SILVER LIMITED,Materials,$130M,-13.98
BCK,BROCKMAN MINING LIMITED,Materials,$130M,0.0
WOT,WOTSO PROPERTY,Equity Real Estate Investment Trusts (REITs),$130M,5.96
QPM,QPM ENERGY LIMITED,Materials,$129M,-5.56
AGE,ALLIGATOR ENERGY LIMITED,Energy,$128M,-8.57
ATR,ASTRON CORPORATION LIMITED,Materials,$127M,-1.6
SMP,SMARTPAY HOLDINGS LIMITED,Financial Services,$127M,-7.34
AZY,ANTIPA MINERALS LIMITED,Materials,$126M,-16.13
MRL,MAYUR RESOURCES LIMITED,Materials,$126M,-1.69
VNL,VINYL GROUP LTD,Software & Services,$123M,-8.59
LV1,LIVE VERDURE LTD,"Food, Beverage & Tobacco",$122M,-1.21
EGL,ENVIRONMENTAL GROUP LIMITED (THE),Capital Goods,$122M,6.9
KOV,KORVEST LTD,Capital Goods,$121M,-1.07
CAM,CLIME CAPITAL LIMITED,Not Applic,$120M,0.0
CLG,CLOSE THE LOOP LTD.,Commercial & Professional Services,$120M,4.65
BIO,BIOME AUSTRALIA LIMITED,Household & Personal Products,$119M,0.94
SND,SAUNDERS INTERNATIONAL LIMITED,Capital Goods,$119M,8.47
AEE,AURA ENERGY LIMITED,Energy,$119M,-3.7
PLT,PLENTI GROUP LIMITED,Financial Services,$119M,3.08
DLI,DELTA LITHIUM LIMITED,Materials,$118M,-2.94
LRK,LARK DISTILLING CO. LTD,"Food, Beverage & Tobacco",$117M,-3.6
GTN,GTN LIMITED,Media & Entertainment,$117M,1.75
GOW,GOWING BROS LIMITED,Financial Services,$116M,-3.96
MDR,MEDADVISOR LIMITED,Health Care Equipment & Services,$116M,-24.14
TOP,THORNEY OPPORTUNITIES LTD,Not Applic,$115M,-1.54
ST1,SPIRIT TECHNOLOGY SOLUTIONS LTD,Telecommunication Services,$115M,-1.61
VFY,VITRAFY LIFE SCIENCES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$114M,3.55
AVL,AUSTRALIAN VANADIUM LIMITED,Materials,$112M,0.0
SNC,SANDON CAPITAL INVESTMENTS LIMITED,Not Applic,$111M,-2.52
BDM,BURGUNDY DIAMOND MINES LIMITED,Materials,$111M,-6.25
TGF,TRIBECA GLOBAL NATURAL RESOURCES LIMITED,Not Applic,$111M,-4.44
AAL,ALFABS AUSTRALIA LIMITED,Capital Goods,$110M,2.67
NZK,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,"Food, Beverage & Tobacco",$110M,0.0
DRX,DIATREME RESOURCES LIMITED,Materials,$110M,-8.7
PEB,PACIFIC EDGE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$110M,0.0
BRI,BIG RIVER INDUSTRIES LIMITED,Materials,$109M,-1.17
SDV,SCIDEV LTD,Materials,$108M,-5.0
MWY,MIDWAY LIMITED,Materials,$108M,5.98
IPD,IMPEDIMED LIMITED,Health Care Equipment & Services,$107M,1.92
VLS,VITA LIFE SCIENCES LIMITED..,"Pharmaceuticals, Biotechnology & Life Sciences",$107M,2.73
HGO,HILLGROVE RESOURCES LIMITED,Materials,$107M,-1.96
HCH,HOT CHILI LIMITED,Materials,$106M,-1.47
CVV,CARAVEL MINERALS LIMITED,Materials,$106M,-1.32
HFR,HIGHFIELD RESOURCES LIMITED,Materials,$106M,-2.04
RYD,RYDER CAPITAL LIMITED,Not Applic,$106M,0.39
RCE,RECCE PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$106M,-4.17
ARA,ARIADNE AUSTRALIA LIMITED,Commercial & Professional Services,$105M,-0.93
AXE,ARCHER MATERIALS LIMITED,Semiconductors & Semiconductor Equipment,$104M,15.07
TRS,THE REJECT SHOP LIMITED,Consumer Discretionary Distribution & Retail,$104M,0.0
MXI,MAXIPARTS LIMITED,Capital Goods,$104M,6.21
RSH,RESPIRI LIMITED,Health Care Equipment & Services,$103M,11.43
AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services,$102M,12.0
SOM,SOMNOMED LIMITED,Health Care Equipment & Services,$102M,4.55
RXL,ROX RESOURCES LIMITED,Materials,$100M,5.56
PPE,PEOPLEIN LIMITED,Commercial & Professional Services,$100M,-3.55
FSA,FSA GROUP LIMITED,Financial Services,$100M,1.88
EGG,ENERO GROUP LIMITED,Media & Entertainment,$99M,0.95
TWD,TAMAWOOD LIMITED,Consumer Durables & Apparel,$99M,-1.68
IVZ,INVICTUS ENERGY LTD,Energy,$99M,1.52
IOD,IODM LIMITED,Software & Services,$98M,1.59
SNT,SYNTARA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$98M,-2.9
TPC,TPC CONSOLIDATED LIMITED,Utilities,$98M,1.28
KKO,KINETIKO ENERGY LTD,Energy,$97M,-6.85
IMA,IMAGE RESOURCES NL,Materials,$97M,0.0
EL8,ELEVATE URANIUM LTD,Energy,$96M,-9.43
BET,BETMAKERS TECHNOLOGY GROUP LTD,Consumer Services,$96M,0.0
NVA,NOVA MINERALS LIMITED,Materials,$96M,29.63
GHY,GOLD HYDROGEN LIMITED,Energy,$96M,0.83
ORN,ORION MINERALS LTD,Materials,$96M,7.69
EXP,EXPERIENCE CO LIMITED,Consumer Services,$95M,4.35
OMA,OMEGA OIL & GAS LIMITED,Energy,$94M,15.38
WR1,WINSOME RESOURCES LIMITED,Materials,$94M,4.94
EQR,EQ RESOURCES LIMITED,Materials,$93M,-2.38
XAM,XANADU MINES LTD,Materials,$92M,-4.0
BBL,BRISBANE BRONCOS LIMITED,Media & Entertainment,$92M,1.06
ECL,EXCELSIOR CAPITAL LTD,Capital Goods,$92M,1.61
CD3,CD PRIVATE EQUITY FUND III,Not Applic,$91M,0.4
PTR,PETRATHERM LTD,Materials,$91M,-6.25
LIN,LINDIAN RESOURCES LIMITED,Materials,$91M,-3.61
BCN,BEACON MINERALS LIMITED,Materials,$91M,0.0
VHM,VHM LIMITED,Materials,$90M,-13.16
TOT,360 CAPITAL REIT,Equity Real Estate Investment Trusts (REITs),$90M,3.75
GLN,GALAN LITHIUM LIMITED,Materials,$90M,0.0
LIS,LI-S ENERGY LIMITED,Capital Goods,$90M,-13.79
BUB,BUBS AUSTRALIA LIMITED,"Food, Beverage & Tobacco",$89M,0.0
PCG,PENGANA CAPITAL GROUP LIMITED,Financial Services,$89M,0.55
SS1,SUN SILVER LIMITED,Materials,$89M,-3.88
ATC,ALTECH BATTERIES LTD,Materials,$88M,2.33
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,Materials,$88M,4.26
LCY,LEGACY IRON ORE LIMITED,Materials,$88M,0.0
USL,UNICO SILVER LIMITED,Materials,$88M,2.7
RND,RAND MINING LIMITED,Materials,$86M,-4.11
HZR,HAZER GROUP LIMITED,Materials,$85M,-1.33
EBG,EUMUNDI GROUP LIMITED,Consumer Services,$85M,1.19
ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail,$85M,1.67
M7T,MACH7 TECHNOLOGIES LIMITED,Health Care Equipment & Services,$84M,9.09
RLT,RENERGEN LIMITED,Energy,$84M,-9.92
IKE,IKEGPS GROUP LIMITED,Technology Hardware & Equipment,$84M,1.96
PNC,PIONEER CREDIT LIMITED,Financial Services,$84M,-5.45
HIT,HITECH GROUP AUSTRALIA LIMITED,Commercial & Professional Services,$83M,2.3
MAP,MICROBA LIFE SCIENCES LIMITED,Health Care Equipment & Services,$83M,2.78
TTM,TITAN MINERALS LIMITED,Materials,$83M,-8.33
RIM,RIMFIRE PACIFIC MINING LIMITED,Materials,$82M,-10.26
PTN,PATRONUS RESOURCES LIMITED,Materials,$82M,-3.85
